,blood,oil,cigar,achole,sport
blood,1.0,0.05792217228002866,-0.035296337904507556,0.010551699735490291,-0.0520408886949707
oil,0.05792217228002866,1.0,0.03300737283140014,-0.007978322466679748,-0.022479582866086593
cigar,-0.035296337904507556,0.03300737283140014,1.0,0.25704016731310514,-0.03653970737564009
achole,0.010551699735490291,-0.007978322466679748,0.25704016731310514,1.0,0.006031543067588869
sport,-0.0520408886949707,-0.022479582866086593,-0.03653970737564009,0.006031543067588869,1.0
